REPUBLICAN,DEM,year,state,state_po,county_name,county_fips,candidatevotes
2922,251,2004,TEXAS,TX,OCHILTREE,48357,3177
7361,1322,2008,TEXAS,TX,HUTCHINSON,48233,8761
21039,24061,2004,OHIO,OH,ASHTABULA,39007,45409
28527,16623,2004,VIRGINIA,VA,SPOTSYLVANIA,51177,45445
1676,1248,2008,TENNESSEE,TN,CLAY,47027,2994
29026,18943,2008,ARIZONA,AZ,COCHISE,4003,48820
2547,2830,2008,NORTH CAROLINA,NC,GATES,37073,5420
32486,6375,2004,UTAH,UT,CACHE,49005,39731
4203,1528,2008,TEXAS,TX,JONES,48253,5808
4887,1167,2016,IDAHO,ID,MINIDOKA,16067,6871
6350,3195,2016,KANSAS,KS,FINNEY,20055,10159
9921,3757,2012,TENNESSEE,TN,DYER,47045,13800
6345,6505,2000,MICHIGAN,MI,IOSCO,26069,13222
49902,67830,2008,NEW JERSEY,NJ,ATLANTIC,34001,118073
985,275,2012,TEXAS,TX,CRANE,48103,1283
10545,8808,2000,MICHIGAN,MI,CASS,26027,19825
47003,30098,2004,DELAWARE,DE,SUSSEX,10005,77749
12372,4233,2004,NORTH CAROLINA,NC,DAVIE,37059,16680
8148,5455,2004,NEW YORK,NY,SCHOHARIE,36095,14557
1298,192,2012,TEXAS,TX,HEMPHILL,48211,1509
20750,16780,2008,PENNSYLVANIA,PA,CRAWFORD,42039,38074
648,430,2008,OREGON,OR,GILLIAM,41021,1110
170952,111819,2012,COLORADO,CO,EL PASO,8041,290175
2160,485,2016,KANSAS,KS,GREENWOOD,20073,2840
4205,2524,2004,ARKANSAS,AR,GRANT,5053,6770
1897,666,2016,WISCONSIN,WI,FLORENCE,55037,2657
1451,507,2000,COLORADO,CO,CUSTER,8027,2111
626,133,2000,UTAH,UT,PIUTE,49031,781
13898,5073,2020,NEW YORK,NY,WYOMING,36121,19483
9745,8074,2008,NORTH CAROLINA,NC,DARE,37055,18048
3628,3151,2008,MISSISSIPPI,MS,YALOBUSHA,28161,6801
4396,1205,2020,MISSOURI,MO,RALLS,29173,5662
13755,7697,2000,NORTH CAROLINA,NC,RUTHERFORD,37161,21716
4306,7117,2012,VERMONT,VT,ORLEANS,50019,11692
3455,1190,2016,WEST VIRGINIA,WV,SUMMERS,54089,4862
400,32,2016,NEBRASKA,NE,LOGAN,31113,453
56241,157136,2020,MICHIGAN,MI,WASHTENAW,26161,216418
1857,288,2020,TEXAS,TX,MARTIN,48317,2160
1597,460,2000,NEBRASKA,NE,MORRILL,31123,2138
11987,12894,2004,WASHINGTON,WA,MASON,53045,25394
10547,1975,2012,GEORGIA,GA,PICKENS,13227,12680
124540,91422,2020,TENNESSEE,TN,KNOX,47093,220556
6191,3034,2004,WEST VIRGINIA,WV,UPSHUR,54097,9293
1320,975,2000,GEORGIA,GA,LONG,13183,2314
3735,1216,2008,NEBRASKA,NE,RED WILLOW,31145,5044
8000,6110,2020,SOUTH DAKOTA,SD,BROOKINGS,46011,14567
4312,2000,2008,TEXAS,TX,LEE,48287,6377
73706,142852,2008,OHIO,OH,LUCAS,39095,219830
6531,3800,2000,MISSOURI,MO,PULASKI,29169,10531
6325,1987,2016,TEXAS,TX,COLORADO,48089,8513
101222,419569,2020,MARYLAND,MD,MONTGOMERY,24031,533743
160390,199060,2004,CONNECTICUT,CT,NEW HAVEN,9009,366392
42045,26220,2000,CALIFORNIA,CA,EL DORADO,6017,72136
2595,369,2020,COLORADO,CO,WASHINGTON,8121,3008
2991,1512,2008,MONTANA,MT,STILLWATER,30095,4667
6926,3275,2008,KANSAS,KS,FINNEY,20055,10354
4124,838,2012,TEXAS,TX,SCURRY,48415,5027
1941,487,2008,TEXAS,TX,SAN SABA,48411,2457
